customer,date
0032j000001UMyCAAW,2020-12-15
0032j00000CJOflAAH,2020-11-24
0032j000007mpzpAAA,2020-12-03
0032j000002gL3GAAU,2020-11-16
0032j000001UT0JAAW,2020-11-04
0032j000001UEIyAAO,2020-12-02
0032j0000076nB3AAI,2020-12-22
0032j000001UDX8AAO,2020-12-10
0032j000004dd9uAAA,2020-12-25
0032j000001UTmqAAG,2020-12-15
0032j000002j5gNAAQ,2020-11-11
0032j000005s8T1AAI,2020-11-25
0030o00002uzly9AAA,2020-11-30
0032j00000BHlryAAD,2020-11-24
0032j00000Cn43pAAB,2020-12-07
0032j0000077mZlAAI,2020-11-10
0032j000008n659AAA,2020-11-02
0032j00000CnKWCAA3,2020-12-07
0032j0000063ixbAAA,2020-12-24
0032j000001UN08AAG,2020-11-09
0032j000002j6tIAAQ,2020-11-12
0032j000004dfpvAAA,2020-11-04
0032j000002gtiQAAQ,2020-11-09
0030o00002uzjadAAA,2020-11-20
0032j00000CJh88AAD,2020-12-07
0032j000004e15bAAA,2020-12-23
0032j000008nYrtAAE,2020-11-19
0032j000007nuHrAAI,2020-12-03
0032j000002gKclAAE,2020-11-04
0032j000002j2SSAAY,2020-11-04
0032j00000BIMjWAAX,2020-11-13
0032j000001UPjkAAG,2020-11-19
0032j00000CJGS4AAP,2020-11-20
0032j000008mmrFAAQ,2020-11-13
0032j000008nUtEAAU,2020-12-04
0032j000002jCoTAAU,2020-11-16
0032j000007nVCdAAM,2020-11-11
0032j00000CmkTBAAZ,2020-12-01
0032j000008lwXYAAY,2020-12-01
0032j000004e39DAAQ,2020-11-06
0032j000004dganAAA,2020-12-17
0032j000001UMJDAA4,2020-12-04
0032j000001VfpJAAS,2020-11-27
0030o00002pUrarAAC,2020-11-09
0030o00002uzlfmAAA,2020-11-05
0032j00000BHREnAAP,2020-11-23
0032j000002j448AAA,2020-12-25
0032j000001UTqlAAG,2020-12-04
0032j0000062cvXAAQ,2020-12-14
0032j00000BHtf7AAD,2020-11-04
0032j000008nkdgAAA,2020-11-02
0032j00000CJRxLAAX,2020-12-15
0032j000001VDQMAA4,2020-11-25
0032j000002j6M7AAI,2020-11-11
0032j000004eAXsAAM,2020-12-18
0032j000001UTy2AAG,2020-12-15
0032j000007oHTtAAM,2020-12-15
0032j000008n3uMAAQ,2020-12-01
0030o00002ytbU9AAI,2020-12-16
0032j000004eBucAAE,2020-12-09
0032j000004dfjeAAA,2020-12-07
0032j000001UO2eAAG,2020-11-27
0032j000004dTsVAAU,2020-12-08
0032j000002ghKsAAI,2020-11-12
0030o00002uzjbWAAQ,2020-11-09
0032j00000CJg7lAAD,2020-11-27
0032j000002j3nyAAA,2020-12-15
0032j000008nl9DAAQ,2020-12-09
0032j000002jAEOAA2,2020-11-18
0032j000007nuYJAAY,2020-11-05
0032j000001UZMJAA4,2020-11-24
0032j000001UFhFAAW,2020-11-26
0032j000001UPQ5AAO,2020-12-07
0032j000001UMOfAAO,2020-12-07
0032j000004fJL5AAM,2020-11-12
0032j000001UUj1AAG,2020-11-20
0032j000001UK6JAAW,2020-11-05
0032j000008mJ6EAAU,2020-12-01
0032j00000CmyH5AAJ,2020-12-02
0032j00000CmxwYAAR,2020-12-03
0032j000007oXY8AAM,2020-11-17
0032j000001UXFkAAO,2020-11-18
0032j000001UO0wAAG,2020-11-30
0032j000008nUvQAAU,2020-12-28
0032j00000CnGGVAA3,2020-12-11
0032j00000Co5bAAAR,2020-12-21
0032j000001UEuQAAW,2020-11-30
0032j00000CIubUAAT,2020-11-25
0032j00000BI7xHAAT,2020-12-28
0032j00000BHk7xAAD,2020-12-14
0032j000002iLp1AAE,2020-11-06
0032j00000Cn4grAAB,2020-12-03
0032j000004eCc7AAE,2020-11-30
0032j000002j58DAAQ,2020-11-30
0032j000002jMsBAAU,2020-12-14
0032j000001UfqGAAS,2020-11-25
0030o000033b7O2AAI,2020-11-06
0032j000005s8VzAAI,2020-11-04
0032j000004e1NJAAY,2020-11-20
0032j000007mquUAAQ,2020-12-23
0032j000006Hdn2AAC,2020-12-11
0030o00002uzjhrAAA,2020-11-11
0032j000004e02qAAA,2020-11-12
0032j00000CJ6W8AAL,2020-11-19
0032j000004dv0ZAAQ,2020-12-24
0032j00000CJ5XFAA1,2020-12-08
0032j00000CnTXLAA3,2020-12-18
0032j00000CFURdAAP,2020-11-17
0032j000001UUOfAAO,2020-12-10
0032j000001WOMOAA4,2020-11-09
0032j00000CnHRWAA3,2020-12-07
0032j000001UXlOAAW,2020-11-30
0032j000004eAXHAA2,2020-11-24
0032j000002j9czAAA,2020-11-04
0032j000001TmMTAA0,2020-11-09
0032j000004dgoEAAQ,2020-12-23
0030o00002ytAZpAAM,2020-11-24
0032j000004dS77AAE,2020-11-09
0032j000001UDGuAAO,2020-11-09
0032j00000CJPrKAAX,2020-12-07
0032j000008nGpuAAE,2020-11-04
0032j000004dXKqAAM,2020-12-10
0032j000007oYf3AAE,2020-12-21
0032j000004eAzlAAE,2020-11-24
0032j000004eBLVAA2,2020-11-20
0032j000007o9ppAAA,2021-02-04
0032j000004e2xlAAA,2020-11-19
0032j000001UN36AAG,2020-11-24
0032j000004efO1AAI,2020-12-10
0032j000004duqSAAQ,2020-12-21
0032j000002gDEkAAM,2020-12-08
0032j00000BHno5AAD,2020-11-25
0032j000004e22HAAQ,2020-12-03
0032j000004dvVlAAI,2020-12-02
0032j000001UIVjAAO,2020-12-11
0032j0000063hTOAAY,2020-11-12
0032j000008mvtfAAA,2020-11-12
0032j000001UDVYAA4,2020-11-27
0032j0000063hKdAAI,2020-11-11
0032j00000CJTndAAH,2020-11-25
0032j000001U4QIAA0,2020-11-19
0032j000001UFl5AAG,2020-11-11
0032j000007oA8qAAE,2020-11-27
0032j000004ewWOAAY,2020-12-04
0032j000001UX8WAAW,2020-11-12
0032j00000CFM5LAAX,2020-11-20
0032j00000CnHf0AAF,2020-12-07
0032j000001UZGgAAO,2020-11-20
0032j00000CmnR4AAJ,2020-12-15
0032j000001UaPHAA0,2020-11-30
0032j000001UFMeAAO,2020-11-24
0032j000001USpyAAG,2020-11-10
0032j000001TgLGAA0,2020-12-14
0032j000001UNy3AAG,2020-11-04
0032j000008nUjIAAU,2020-11-30
0032j000002gqJZAAY,2020-12-11
0032j000002j57EAAQ,2021-01-29
0032j000004f35vAAA,2020-11-17
0032j00000CIid9AAD,2020-11-13
0032j000004dQOlAAM,2020-11-16
0030o00002uzkpOAAQ,2020-12-18
0032j000001UzPqAAK,2020-11-12
0032j00000BIBgzAAH,2020-11-11
0032j000001UDI6AAO,2020-12-07
0032j000002j4tXAAQ,2020-11-18
0032j000002ikAfAAI,2021-01-14
0032j00000CnWr6AAF,2020-12-10
0032j000001UDIQAA4,2020-11-09
0032j000002hK7rAAE,2020-11-13
0032j000006yPXbAAM,2020-11-04
0032j00000BIEuDAAX,2020-11-06
0032j000008nd0MAAQ,2020-11-04
0030o00002uzkewAAA,2020-12-10
0032j000001UFdpAAG,2020-11-05
0032j000007nVtVAAU,2020-11-11
0032j000002jA2CAAU,2020-11-04
0032j00000621uEAAQ,2020-11-20
0032j000001UImnAAG,2020-11-06
0032j00000CmykEAAR,2020-12-08
0032j00000CJ1AiAAL,2020-12-03
0032j000002jDF8AAM,2020-11-19
0032j000007oXo5AAE,2020-11-12
0032j000001UMSYAA4,2020-11-06
0032j00000CIblLAAT,2020-12-23
0032j00000CnSXAAA3,2020-12-09
0032j000001ULjRAAW,2020-11-16
0032j000002j2RoAAI,2021-01-07
0032j00000CJBorAAH,2020-11-19
0032j000004eCEmAAM,2020-12-15
0032j000007n8s7AAA,2020-12-18
0032j000002fokfAAA,2020-12-26
0032j00000CoW8bAAF,2020-12-24
0032j000001U9SwAAK,2021-02-19
0032j000004e9tWAAQ,2020-11-11
0030o00002yu4iSAAQ,2020-12-22
0032j000008mxpJAAQ,2020-11-06
0030o00002uzmYbAAI,2020-11-06
0032j000007794EAAQ,2020-11-18
0032j00000CIbZaAAL,2020-12-02
0032j000001UMzqAAG,2020-11-03
0032j000001UForAAG,2020-12-03
0032j000004dh0BAAQ,2020-11-02
0032j00000Cmd3nAAB,2020-12-03
0032j000001UFA2AAO,2020-11-17
0032j000001UTleAAG,2020-11-16
0032j00000BI4cGAAT,2020-11-09
0032j00000CIehbAAD,2020-11-11
0032j000001VbuXAAS,2020-11-02
0032j00000CIiV8AAL,2020-11-12
0032j000002hElAAAU,2020-11-09
0030o00002uzlEEAAY,2020-11-13
0032j000008lcZQAAY,2020-11-10
0032j00000GgIIoAAN,2020-11-26
0032j000004eBliAAE,2020-12-23
0032j000004dgOlAAI,2020-11-17
0032j00000BI3BOAA1,2020-11-03
0032j000002jBPEAA2,2020-11-11
0032j00000BHkK9AAL,2020-11-09
0032j00000CJSIqAAP,2020-11-25
0032j00000776xvAAA,2020-11-26
0032j0000062uTvAAI,2020-12-05
0032j000001UF5IAAW,2020-12-18
0032j000002gqIkAAI,2020-12-23
0032j000008mSoKAAU,2020-11-02
0032j000001URBSAA4,2020-12-22
0032j000001TmRnAAK,2020-12-25
0032j000001UMACAA4,2020-11-13
0032j00000BHknBAAT,2020-11-20
0032j000002foUgAAI,2020-12-18
0032j000001UA9WAAW,2020-11-24
0032j00000BCJEDAA5,2020-11-18
0032j00000BHkgpAAD,2020-12-09
0032j000002jiRzAAI,2020-12-14
0032j000002j4MNAAY,2020-12-17
0032j000001USDtAAO,2020-12-04
0032j000004e2WjAAI,2020-12-04
0032j000007k6ODAAY,2020-11-26
0032j000002hwotAAA,2020-11-24
0032j000002j6n6AAA,2020-11-06
0032j000001UfhMAAS,2020-11-12
0032j00000CJ1F2AAL,2020-11-20
0032j00000776ryAAA,2020-12-22
0032j000004dc3NAAQ,2020-12-11
0032j000002jAVxAAM,2020-11-06
0032j000004dZDMAA2,2020-12-15
0030o00002uzkpmAAA,2020-12-15
0032j000007nURqAAM,2020-12-07
0032j00000BIMjRAAX,2020-11-10
0032j000004eqN6AAI,2020-12-22
0032j000001UYJTAA4,2020-11-24
0032j000004dTBZAA2,2020-12-02
0032j000004dUcWAAU,2020-11-20
0032j000004dy9QAAQ,2020-11-02
0032j000002hhqXAAQ,2020-11-13
0032j000001Ug3aAAC,2020-11-24
0032j000004dv0RAAQ,2020-12-24
0032j00000BIB6kAAH,2020-11-09
0032j000004eCJRAA2,2020-11-12
0032j000002j53bAAA,2020-11-24
0032j00000CJiUAAA1,2020-12-02
0032j000004g1ezAAA,2020-11-24
0032j00000Co6QSAAZ,2020-12-23
0032j000001UO2KAAW,2020-11-25
0032j00000CmnSIAAZ,2020-12-08
0032j000004dXKKAA2,2020-12-01
0032j000002hwkfAAA,2020-11-27
0032j000001UfktAAC,2020-11-11
0032j000001UDFrAAO,2020-11-02
0032j000002jjziAAA,2020-11-25
0032j000001UaAhAAK,2020-12-05
0032j000002hCn6AAE,2020-12-12
0032j00000CIaBbAAL,2020-11-11
0032j000008nrxAAAQ,2020-11-03
0032j00000BHaFTAA1,2020-12-03
0032j000007oYRZAA2,2020-11-10
0030o00002yt2VQAAY,2020-12-19
0032j000001UErMAAW,2020-12-23
0032j00000Cnc7DAAR,2020-12-11
0032j000004eCiXAAU,2020-11-11
0032j000007mosCAAQ,2020-11-11
0032j000001UXUIAA4,2020-12-14
0032j000001UNiGAAW,2020-11-20
0032j000001UDcCAAW,2020-12-04
0030o00002uzmNAAAY,2020-11-27
0032j000004dwoaAAA,2020-11-20
0032j000004dT3TAAU,2020-12-29
0032j00000CIf2GAAT,2020-11-11
0032j000002gQplAAE,2020-12-04
0032j000001UUX6AAO,2020-12-15
0032j000004dfq0AAA,2020-12-02
0032j000002gKemAAE,2020-12-19
0032j000004duuOAAQ,2020-11-09
0032j000004e22yAAA,2020-12-21
0032j000001W4IVAA0,2020-12-17
0032j000004e2mLAAQ,2020-11-20
0030o00002uzk3UAAQ,2020-12-02
0030o000033b0WhAAI,2020-11-06
0032j000001UNsxAAG,2020-12-09
0032j00000CoP9gAAF,2020-12-25
0032j000008lkg7AAA,2020-12-18
0032j000001UEAJAA4,2020-12-25
0032j000007mqcsAAA,2020-12-22
0032j000008nnxoAAA,2020-11-10
0032j000001UMIjAAO,2020-11-24
0032j000007oY8HAAU,2020-11-09
0032j000007n8CqAAI,2020-11-27
0032j000001U7oKAAS,2020-11-11
0032j000002joE6AAI,2020-11-18
0030o00002uzmTEAAY,2020-11-09
0032j000007mrDdAAI,2020-11-03
0032j00000CIaBaAAL,2020-11-11
0032j00000CIehuAAD,2020-11-11
0032j000001VbuAAAS,2020-12-23
0032j000001UT0UAAW,2020-12-03
0032j000002j7NGAAY,2020-11-12
0032j00000BIFKhAAP,2020-11-11
0032j00000BHl5dAAD,2020-11-24
0032j000008n1ObAAI,2020-11-26
0032j000001UTyCAAW,2020-12-08
0032j000001UMHLAA4,2020-12-07
0030o00002pUrU2AAK,2020-11-30
0032j00000CImMiAAL,2020-12-03
0032j000007mpgcAAA,2020-11-30
0032j000007nC8KAAU,2020-11-06
0032j000002j464AAA,2020-12-04
0032j000004e9PFAAY,2020-11-20
0032j000002ft6sAAA,2020-12-21
0032j000004duVqAAI,2021-01-18
0032j000001UDU2AAO,2020-11-02
0032j000007mp1EAAQ,2020-11-04
0032j00000CnAbPAAV,2020-12-07
0032j000001UNuvAAG,2020-11-12
0032j000001UzQsAAK,2020-11-26
0032j000001UDgUAAW,2020-12-03
0032j000007k6pVAAQ,2020-11-26
0032j000004dVF5AAM,2020-11-17
0032j000004eCdsAAE,2020-11-19
0032j000008nkdqAAA,2020-11-04
0032j000002hazqAAA,2020-12-04
0032j000001UFCMAA4,2020-12-24
0032j000004df9jAAA,2020-11-30
0032j000001UO7NAAW,2020-11-09
0032j00000CJkMcAAL,2020-12-01
0032j000002j42YAAQ,2020-11-10
0032j000004dxFWAAY,2020-11-19
0032j000004e02KAAQ,2020-12-03
0032j000002gtZmAAI,2020-12-14
0032j000004eBZxAAM,2020-12-08
0032j000004eDJAAA2,2020-11-06
0032j000001UUHGAA4,2020-11-13
0032j000007nuZaAAI,2020-11-24
0032j00000Cn3vpAAB,2020-12-08
0032j000002j7OCAAY,2020-11-04
0032j00000CJAkFAAX,2020-11-19
0032j000004ddmFAAQ,2020-11-17
0032j00000CoMO9AAN,2020-12-24
0032j00000Cn4LrAAJ,2020-12-20
0032j000001UEu0AAG,2020-11-12
0032j000008ltiQAAQ,2020-12-10
0032j00000CIfgRAAT,2020-11-12
0032j000002j5DSAAY,2020-11-17
0032j000001UE4fAAG,2020-11-06
0032j000008ns9dAAA,2020-11-30
0032j000002j3luAAA,2020-12-14
0030o000033bqXJAAY,2020-11-06
0032j000004dgnKAAQ,2020-11-09
0032j000002hNlmAAE,2020-12-25
0032j000001UXhlAAG,2020-11-05
0032j000002j2dyAAA,2020-11-18
0032j000001UWkqAAG,2020-12-15
0032j000007nQL8AAM,2020-12-19
0032j000002gKVUAA2,2020-11-06
0032j000002gKp1AAE,2020-11-18
0032j00000CJD8LAAX,2020-11-30
0032j00000CJbRpAAL,2020-12-14
0032j000001UT8FAAW,2020-12-02
0032j000002j5tPAAQ,2020-12-18
0032j000004eE3KAAU,2020-12-25
0032j000008nS6CAAU,2020-11-12
0032j00000CnNmrAAF,2020-12-28
0032j000004dcHWAAY,2020-12-24
0032j000008nGapAAE,2020-12-03
0032j000001UTq5AAG,2020-11-12
0032j000004duCTAAY,2020-12-02
0030o00002uzkkIAAQ,2020-12-10
0032j000001UKmCAAW,2021-03-02
0032j000008nCIJAA2,2020-11-02
0032j000001UDgRAAW,2020-12-14
0032j000002hDxlAAE,2020-11-27
0032j000001UKyZAAW,2020-11-06
0032j000001UDH5AAO,2020-12-04
0032j000004g3IhAAI,2020-11-30
0032j000004e3o8AAA,2020-12-01
0032j000001UXBIAA4,2020-12-01
0032j000007oA3WAAU,2020-12-09
0032j000001UFbcAAG,2020-11-26
0032j000004e02SAAQ,2020-12-07
0032j000001UDaDAAW,2020-11-05
0032j00000BI8OMAA1,2020-11-19
0032j000005s8Q7AAI,2020-11-13
0032j000008meKAAAY,2020-11-24
0032j000001US27AAG,2020-11-30
